Q.yearborn,Q.gender,Q.ethnicity,What do you use to stream TV shows or movies? Select all that apply.,"Of the two options, how do you identify?",Which statement applies to you? Select one.,Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which statement best applies to you?,Have you canceled a streaming subscription in the past year?,Why did you cancel the streaming subscription in the past year? Select all that apply.,How many hours per week do you spend watching TV shows?,How many hours per week do you spend watching movies?,How many hours per week do you spend playing video games?,How many hours per week do you spend listening to podcasts or audiobooks?,How many hours per week do you spend listening to music?,"Of the below list, which is your favorite to do?","When you are streaming a TV show or movie, which do you primarily prefer?","When you are streaming a TV show or movie, which do you primarily prefer?","When you discover a new TV show or movie, how do you typically first hear about it? Select one.",How important is it to you to be the first of your friend group to discover a new TV show or movie?
2002,Female,['Black or African American'],"['Smart TV', 'Roku ', 'Chromecast', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Google TV+', 'Apple TV+', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+', 'Discovery+']",Netflix,"['Iheartradio', 'Spotify', 'Tidal', 'Amazon Music', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],12+ hours,12+ hours,9-11 hours,9-11 hours,12+ hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Very important
2004,Male,['Asian'],"['Apple TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a part time student,"['Apple TV+', 'HBO Max', 'Discovery+']",Apple TV+,"['Spotify', 'Deezer', 'Amazon Music']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Content I liked left/ended ', 'Hard to navigate the platform']",6-8 hours,1-5 hours,6-8 hours,< 1 hour,9-11 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
1998,Female,['White or Caucasian'],"['Roku ', 'Tablet', 'Laptop']",Extrovert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Paramount +']",Netflix,"['Pandora', 'SoundCloud']",Pandora,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",9-11 hours,9-11 hours,9-11 hours,0 hours,1-5 hours,Watching movies,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
1997,Female,['White or Caucasian'],"['Roku ', 'Gaming console', 'Smartphone']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Disney+', 'Crunchyroll', 'Funimation']",Crunchyroll,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,0 hours,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Somewhat important
2003,Male,['Hispanic'],"['Smart TV', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Apple TV+', 'Disney+', 'Paramount +', 'HBO Max']",Netflix,"['Spotify', 'SoundCloud']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],< 1 hour,0 hours,6-8 hours,< 1 hour,1-5 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Not at all important
1998,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Amazon Prime Video', 'Crunchyroll', 'Funimation']",Hulu,"['Spotify', 'Pandora']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,6-8 hours,9-11 hours,6-8 hours,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Not at all important
2000,Male,['Black or African American'],"['Smart TV', 'Roku ', 'Apple TV', 'Gaming console', 'Smartphone']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+']",Apple TV+,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",9-11 hours,1-5 hours,6-8 hours,1-5 hours,6-8 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
1997,Male,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Paramount +', 'HBO Max']",Hulu,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",1-5 hours,1-5 hours,12+ hours,< 1 hour,6-8 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Very important
2003,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Paramount +', 'HBO Max', 'Funimation']",Disney+,"['Apple Music', 'SoundCloud']",Apple Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,Not at all important
1998,Female,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+']",Netflix,['Spotify'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,0 hours,1-5 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,A little important
1997,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Apple TV', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a part time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Apple TV+', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+', 'Discovery+', 'Crunchyroll']",Netflix,"['Iheartradio', 'Spotify', 'Amazon Music', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],12+ hours,9-11 hours,6-8 hours,1-5 hours,9-11 hours,Listening to music,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Very important
2000,Female,['White or Caucasian'],"['Roku ', 'Firestick', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Paramount +', 'HBO Max', 'Discovery+']",Discovery+,"['Iheartradio', 'Spotify', 'Amazon Music', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,12+ hours,1-5 hours,0 hours,6-8 hours,Watching movies,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Not at all important
1998,Male,['White or Caucasian'],"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Netflix', 'Amazon Prime Video', 'Disney+', 'Crunchyroll']",Netflix,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],9-11 hours,1-5 hours,1-5 hours,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Very important
1998,Female,"['White or Caucasian', 'Black or African American']",['Roku'],Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Paramount +']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Not enough content I liked'],12+ hours,< 1 hour,1-5 hours,< 1 hour,1-5 hours,Watching TV shows,Have it on in the background,Watch alone,Seeing it on social media or online,Not at all important
2000,Female,"['White or Caucasian', 'Black or African American', 'Hispanic', 'Other (please specify):']","['Smart TV', 'Roku ', 'Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a part time job,"['Hulu', 'Netflix', 'YouTube Premium', 'Disney+', 'Peacock']",YouTube Premium,"['Apple Music', 'SoundCloud', 'YouTube Music']",SoundCloud,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,6-8 hours,9-11 hours,0 hours,1-5 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
1999,Male,['White or Caucasian'],"['Smart TV', 'Laptop']",Introvert,I am a full time student,['Crunchyroll'],,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],< 1 hour,< 1 hour,12+ hours,0 hours,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Not at all important
1999,Female,['White or Caucasian'],"['Roku ', 'Apple TV', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'YouTube Premium', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max']",Netflix,"['Spotify', 'Apple Music', 'Pandora', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",1-5 hours,6-8 hours,< 1 hour,< 1 hour,1-5 hours,Listening to podcasts/audiobooks,Focus entirely on the show,Watch alone,Seeing it as an ad on a streaming app,Very important
1997,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Firestick', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Peacock', 'CuriosityStream', 'FuboTV']",Amazon Prime Video,"['Iheartradio', 'Spotify', 'Deezer', 'Amazon Music', 'Pandora', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",< 1 hour,1-5 hours,12+ hours,12+ hours,12+ hours,Listening to music,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Not at all important
1998,Female,['White or Caucasian'],['Smartphone'],Introvert,I have a part time job,['Netflix'],,"['Spotify', 'Apple Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,6-8 hours,1-5 hours,0 hours,9-11 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
1998,Female,['White or Caucasian'],"['Roku ', 'Apple TV', 'Smartphone', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'HBO Max']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,0 hours,9-11 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,A little important
1997,Male,['White or Caucasian'],"['Smart TV', 'Firestick', 'Laptop']",Introvert,I am a full time student with a job,"['Netflix', 'HBO Max']",Netflix,"['Amazon Music', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,1-5 hours,1-5 hours,6-8 hours,Listening to music,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Very important
1998,Female,['White or Caucasian'],['Chromecast'],Introvert,I have a full time job,"['Hulu', 'Netflix', 'Apple TV+', 'Disney+', 'Paramount +', 'HBO Max']",Hulu,"['Apple Music', 'Pandora', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],9-11 hours,9-11 hours,1-5 hours,< 1 hour,6-8 hours,Watching movies,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2000,Male,['Hispanic'],"['Roku ', 'Firestick', 'Smartphone']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Google TV+', 'Disney+', 'HBO Max', 'Funimation']",Netflix,"['Spotify', 'SoundCloud', 'YouTube Music']",YouTube Music,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Not enough content I liked'],< 1 hour,< 1 hour,1-5 hours,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
2000,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max']",Disney+,"['Spotify', 'Apple Music', 'Pandora', 'SoundCloud']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,9-11 hours,12+ hours,0 hours,12+ hours,Playing video games,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Not at all important
2001,Male,['White or Caucasian'],"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,None of the above,"['Netflix', 'Disney+', 'Paramount +', 'Discovery+']",Disney+,"[""I don't regularly stream music""]",,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,< 1 hour,0 hours,9-11 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
2002,Female,['Hispanic'],['Roku'],Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Disney+', 'HBO Max']",Netflix,"[""I don't regularly stream music""]",,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,12+ hours,0 hours,0 hours,9-11 hours,Watching movies,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Not at all important
1997,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Apple TV', 'Smartphone', 'Tablet']",Extrovert,I am a part time student,"['Netflix', 'YouTube Premium', 'Google TV+', 'Apple TV+', 'Disney+', 'HBO Max', 'ESPN+', 'Discovery+']",Netflix,"['Spotify', 'Deezer', 'Amazon Music', 'Apple Music', 'Pandora', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],< 1 hour,1-5 hours,< 1 hour,1-5 hours,1-5 hours,Listening to podcasts/audiobooks,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
2002,Male,"['White or Caucasian', 'Asian']","['Chromecast', 'Gaming console', 'Tablet', 'Laptop', 'Other (please specify)']",Introvert,I am a full time student,"['Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Crunchyroll']",YouTube Premium,"['Spotify', 'Amazon Music', 'Apple Music', 'SoundCloud', 'YouTube Music']",SoundCloud,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,12+ hours,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,Not at all important
1998,Male,['White or Caucasian'],"['Roku ', 'Apple TV', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'Disney+', 'Peacock', 'HBO Max']",Netflix,"['Iheartradio', 'Spotify', 'Pandora', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],9-11 hours,1-5 hours,0 hours,1-5 hours,12+ hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2000,Male,['Black or African American'],"['Roku ', 'Chromecast', 'Firestick', 'Laptop']",Introvert,I have a full time job,"['Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+']",Netflix,"['Spotify', 'Apple Music', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",9-11 hours,6-8 hours,12+ hours,1-5 hours,6-8 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,Very important
1998,Male,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Crunchyroll', 'Funimation']",Netflix,"['Spotify', 'Amazon Music', 'Apple Music', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],< 1 hour,6-8 hours,9-11 hours,< 1 hour,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
2002,Female,['White or Caucasian'],"['Roku ', 'Smartphone']",Introvert,I am a full time student,"['Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max']",Netflix,"['SoundCloud', 'Other (please specify)']",SoundCloud,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],0 hours,< 1 hour,0 hours,0 hours,12+ hours,Listening to music,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
1999,Female,['White or Caucasian'],"['Smart TV', 'Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+']",Hulu,"['Spotify', 'Amazon Music', 'Apple Music', 'Audible']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,1-5 hours,1-5 hours,6-8 hours,6-8 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,A little important
1997,Male,['White or Caucasian'],"['Smart TV', 'Smartphone', 'Laptop']",Introvert,I have a full time job,['Netflix'],,"['Amazon Music', 'Apple Music']",Amazon Music,I personally pay for most or all of the streaming platforms I use,Yes,['Hard to navigate the platform'],1-5 hours,1-5 hours,1-5 hours,1-5 hours,1-5 hours,Listening to music,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,A little important
1997,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Smartphone', 'Other (please specify)']",Introvert,I am a part time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +', 'Funimation']",Disney+,['Apple Music'],,I equally pay for and use another person’s account for the streaming platforms I use,Yes,['Price/Cost'],9-11 hours,12+ hours,12+ hours,0 hours,9-11 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as an ad on a streaming app,Somewhat important
1998,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Smartphone', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video']",Netflix,"['Spotify', 'SoundCloud']",Spotify,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,9-11 hours,12+ hours,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2003,Female,['White or Caucasian'],"['Smartphone', 'Tablet']",Introvert,I have a part time job,['Netflix'],,"['Spotify', 'SoundCloud', 'YouTube Music']",SoundCloud,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Other (please specify)'],1-5 hours,6-8 hours,1-5 hours,0 hours,12+ hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
1999,Male,['White or Caucasian'],"['Roku ', 'Chromecast', 'Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'HBO Max', 'CuriosityStream', 'Discovery+']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",9-11 hours,0 hours,12+ hours,0 hours,12+ hours,Playing video games,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Very important
1999,Male,['White or Caucasian'],"['Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'HBO Max']",HBO Max,"['Spotify', 'Audible']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,12+ hours,1-5 hours,1-5 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,A little important
1997,Male,['White or Caucasian'],"['Roku ', 'Laptop', 'Other (please specify)']",Introvert,I have a part time job,['Other (please specify)'],,['YouTube Music'],,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,< 1 hour,12+ hours,0 hours,1-5 hours,Playing video games,Have it on in the background,Watch alone,Seeing it on social media or online,A little important
2001,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Smartphone', 'Laptop']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Paramount +', 'HBO Max']",Netflix,"['Spotify', 'Pandora', 'YouTube Music']",Pandora,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,< 1 hour,1-5 hours,Listening to music,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2003,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Smartphone', 'Laptop']",Introvert,I have a part time job,"['Netflix', 'Amazon Prime Video', 'HBO Max']",Netflix,"['Spotify', 'Amazon Music', 'YouTube Music']",Spotify,I equally pay for and use another person’s account for the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",1-5 hours,1-5 hours,6-8 hours,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
2003,Female,['White or Caucasian'],"['Smart TV', 'Roku']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Peacock', 'HBO Max']",Netflix,"['SoundCloud', 'YouTube Music']",SoundCloud,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,0 hours,1-5 hours,Listening to music,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Very important
2001,Male,['White or Caucasian'],"['Apple TV', 'Gaming console', 'Smartphone', 'Tablet']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'YouTube Premium', 'Disney+']",YouTube Premium,"['Spotify', 'Amazon Music', 'Pandora', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Hard to navigate the platform'],1-5 hours,< 1 hour,9-11 hours,< 1 hour,1-5 hours,Playing video games,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
2001,Male,['Hispanic'],"['Smart TV', 'Apple TV', 'Laptop']",Introvert,I am a full time student with a job,"['Amazon Prime Video', 'Disney+', 'Discovery+', 'Funimation', 'FuboTV']",Discovery+,"['Bandcamp', 'Apple Music', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],< 1 hour,1-5 hours,9-11 hours,1-5 hours,9-11 hours,Watching movies,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
2001,Male,['White or Caucasian'],"['Roku ', 'Smartphone']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'YouTube Premium', 'Disney+']",Netflix,['YouTube Music'],,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Price/Cost', 'Other (please specify)']",12+ hours,1-5 hours,1-5 hours,0 hours,1-5 hours,Watching TV shows,Have it on in the background,Watch with friends/family,Seeing it as an ad on a streaming app,A little important
2000,Male,['White or Caucasian'],"['Apple TV', 'Gaming console']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'Discovery+']",Netflix,"['Spotify', 'Apple Music', 'SoundCloud']",Apple Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,< 1 hour,1-5 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
1997,Male,['White or Caucasian'],"['Firestick', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Sling', 'Disney+', 'Crunchyroll', 'Funimation']",Netflix,"['Spotify', 'Bandcamp', 'Amazon Music', 'Apple Music', 'Stitcher', 'Audible', 'Pandora', 'SoundCloud']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,6-8 hours,1-5 hours,12+ hours,Listening to music,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2000,Female,['White or Caucasian'],"['Smartphone', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video']",Netflix,"['Spotify', 'SoundCloud']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],6-8 hours,0 hours,0 hours,< 1 hour,1-5 hours,Watching TV shows,Have it on in the background,Watch alone,Seeing it on social media or online,Somewhat important
2000,Female,['Black or African American'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max', 'Crunchyroll', 'Funimation']",Disney+,"['Spotify', 'Audible']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],9-11 hours,1-5 hours,9-11 hours,1-5 hours,6-8 hours,Playing video games,Have it on in the background,Watch alone,Seeing it on social media or online,A little important
1998,Male,['White or Caucasian'],"['Smart TV', 'Gaming console']",Introvert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max', 'ESPN+']",Hulu,"['Spotify', 'SoundCloud']",SoundCloud,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",< 1 hour,1-5 hours,1-5 hours,6-8 hours,6-8 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
2000,Male,['Black or African American'],"['Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I am a full time student with a job,"['Netflix', 'Apple TV+', 'Disney+', 'Peacock', 'ESPN+']",Netflix,['Spotify'],,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],6-8 hours,1-5 hours,12+ hours,0 hours,12+ hours,Playing video games,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2001,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Laptop']",Introvert,None of the above,"['Hulu', 'Netflix', 'Disney+']",Hulu,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,No,[''],9-11 hours,9-11 hours,< 1 hour,0 hours,6-8 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,A little important
2000,Female,['Hispanic'],"['Chromecast', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Paramount +', 'HBO Max', 'ESPN+', 'CuriosityStream', 'Crunchyroll']",Netflix,"['Iheartradio', 'Spotify', 'Deezer', 'Bandcamp', 'Amazon Music', 'Audible', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],9-11 hours,6-8 hours,9-11 hours,9-11 hours,9-11 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
